portfolio,ActivePremium,Alpha,AnnualizedAlpha,Beta,Beta-,Beta+,Correlation,Correlationp-value,InformationRatio,R-squared,TrackingError,TreynorRatio
1,0.4075,0.0018,0.5907,0.4298,0.6352,0.3986,0.4384,0,2.7224,0.1922,0.1497,2.014
2,0.7664,0.0025,0.8814,0.4911,0.5883,0.7839,0.3193,0.0023,3.4941,0.102,0.2194,2.5115
3,0.8291,0.0024,0.8471,0.6928,1.3477,0.8489,0.2999,0.0043,2.6234,0.0899,0.316,2.0527
4,0.3818,0.0022,0.7348,0.1647,0.6368,0.192,0.1653,0.1216,2.0787,0.0273,0.1837,5.0761
5,0.7672,0.0025,0.8644,0.5372,0.9394,0.6831,0.3019,0.004,3.0691,0.0912,0.25,2.2698
6,0.3114,0.0016,0.4957,0.4495,0.5125,0.6736,0.4827,0,2.212,0.233,0.1408,1.6901
7,1.2056,0.0031,1.165,0.5981,0.9383,0.7297,0.3922,1e-4,5.7951,0.1538,0.208,2.7503
8,0.5265,0.002,0.6607,0.5105,0.8552,0.8697,0.3534,7e-4,2.5799,0.1249,0.2041,1.9632
9,0.6419,0.0022,0.7351,0.5733,0.6412,1.3968,0.3223,0.0021,2.6044,0.1039,0.2465,1.9798
10,0.6284,0.0022,0.7539,0.4813,0.715,0.8506,0.4047,1e-4,3.6405,0.1638,0.1726,2.1976
11,0.7184,0.0023,0.8034,0.5165,0.8179,0.7991,0.4569,0,4.5145,0.2088,0.1591,2.2723
12,0.6518,0.0021,0.6935,0.6613,1.188,0.8323,0.3491,8e-4,2.5404,0.1219,0.2566,1.6999
13,0.6408,0.0022,0.7546,0.4817,0.7244,0.6792,0.5155,0,4.6508,0.2657,0.1378,2.2089
14,0.6045,0.0022,0.7261,0.4935,0.7797,0.54,0.4121,1e-4,3.5411,0.1698,0.1707,2.2213
15,0.6181,0.0021,0.6947,0.6081,1.2136,0.8041,0.3365,0.0013,2.4953,0.1132,0.2477,1.8356
16,0.4353,0.002,0.6554,0.39,0.6418,0.4653,0.2794,0.008,2.0838,0.078,0.2089,2.4618
17,0.3812,0.0017,0.5249,0.5391,0.8293,0.9332,0.3557,6e-4,1.8033,0.1266,0.2114,1.5935
18,0.4326,0.002,0.6443,0.3778,0.7412,0.2925,0.3872,2e-4,2.7728,0.15,0.156,2.3479
19,0.5714,0.0018,0.587,0.7018,1.231,0.4805,0.4408,0,2.7334,0.1943,0.2091,1.4044
20,0.8168,0.0024,0.8187,0.6211,0.7583,1.1154,0.4861,0,4.8128,0.2363,0.1697,1.976
21,0.4715,0.0019,0.6286,0.4609,0.6324,0.5524,0.4413,0,3.0554,0.1947,0.1543,2.0062
22,0.2538,0.0015,0.4599,0.4208,0.5034,0.6726,0.505,0,1.9142,0.2551,0.1326,1.6551
23,0.5518,0.002,0.6572,0.544,0.7924,0.3497,0.3962,1e-4,2.8725,0.157,0.1921,1.7852
24,0.6878,0.0024,0.8205,0.4486,0.6891,0.8106,0.4328,0,4.4232,0.1873,0.1555,2.5043
25,0.639,0.0022,0.7584,0.503,0.9147,0.6764,0.3582,6e-4,3.2108,0.1283,0.199,2.239
26,0.5544,0.0021,0.7023,0.4759,0.8803,0.445,0.3492,8e-4,2.8218,0.1219,0.1965,2.1243
27,0.2696,0.0017,0.5203,0.3507,0.7665,0.4344,0.3244,0.0019,1.5629,0.1053,0.1725,2.07
28,0.4039,0.0018,0.5617,0.4694,0.7802,0.5993,0.5219,0,2.9994,0.2724,0.1347,1.7738
29,0.6213,0.002,0.6478,0.6375,0.8453,1.0989,0.5329,0,4.033,0.284,0.1541,1.6616
30,0.4168,0.0018,0.5776,0.4809,0.7827,0.8052,0.3852,2e-4,2.3187,0.1484,0.1798,1.8323
31,0.7468,0.0024,0.8177,0.5313,0.8252,0.5163,0.462,0,4.6439,0.2134,0.1608,2.2234
32,0.5169,0.0021,0.7052,0.4064,0.603,0.7483,0.3588,6e-4,2.9932,0.1287,0.1727,2.3987
33,0.3706,0.0017,0.551,0.4345,0.5082,0.7081,0.5516,0,2.9413,0.3042,0.126,1.8235
34,0.3617,0.0018,0.5675,0.3978,0.5477,0.6823,0.4496,0,2.5472,0.2022,0.142,2.0456
35,0.4722,0.0021,0.6773,0.3791,0.6649,0.3879,0.3978,1e-4,3.0781,0.1582,0.1534,2.4167
36,0.5779,0.0022,0.744,0.4188,0.4941,0.6517,0.4304,0,3.8422,0.1852,0.1504,2.4591
37,0.75,0.0026,0.9037,0.4274,0.589,0.3333,0.312,0.0029,3.7154,0.0973,0.2019,3.0528
38,0.7416,0.0025,0.8711,0.4493,0.6751,0.6011,0.3858,2e-4,4.3116,0.1488,0.172,2.6719
39,0.4318,0.002,0.661,0.3415,0.5374,0.338,0.4269,0,3.0767,0.1822,0.1404,2.5547
40,0.6795,0.0023,0.7778,0.5321,0.9885,0.7627,0.3546,7e-4,3.2281,0.1258,0.2105,2.1272
41,0.4577,0.0021,0.6993,0.3221,0.3931,0.3435,0.3571,6e-4,2.9709,0.1275,0.1541,2.856
42,0.6932,0.0024,0.8349,0.4831,0.6866,1.0142,0.2829,0.0072,2.8457,0.08,0.2436,2.4717
43,1.0122,0.0028,1.0018,0.5928,0.8759,0.8423,0.4347,0,5.4929,0.1889,0.1843,2.4784
44,0.438,0.0019,0.6066,0.4443,0.7309,0.2323,0.4759,0,3.0845,0.2265,0.142,1.9879
45,0.4112,0.002,0.6642,0.309,0.3844,0.317,0.36870000000000003,4e-4,2.7684,0.1359,0.1486,2.8105
46,0.559,0.0022,0.7405,0.4035,0.6967,0.4359,0.3852,2e-4,3.4621,0.1483,0.1615,2.5634
47,0.9865,0.0027,0.9975,0.5783,1.023,0.826,0.3943,1e-4,4.8948,0.1555,0.2015,2.4561
48,0.7193,0.0025,0.8914,0.3861,0.6886,0.4977,0.3743,3e-4,4.4268,0.1401,0.1625,3.0093
49,0.6457,0.0023,0.7865,0.4739,0.7385,0.8883,0.3239,0.002,3.0584,0.1049,0.2111,2.2862
50,0.2308,0.0016,0.4862,0.3441,0.3745,0.549,0.3531,7e-4,1.4329,0.1247,0.161,1.9319
51,0.4799,0.0019,0.6201,0.4811,0.6219,0.8097,0.5056,0,3.3785,0.2557,0.142,1.8242
52,0.3474,0.0019,0.6006,0.3293,0.6637,0.4165,0.3186,0.0023,2.0597,0.1015,0.1687,2.4963
53,0.636,0.0021,0.6919,0.6155,1.1317,0.556,0.3883,2e-4,2.964,0.1507,0.2146,1.7989
54,1.1287,0.003,1.1229,0.5563,0.9928,0.8095,0.4239,0,6.2035,0.1797,0.1819,2.773
55,0.3497,0.0018,0.5776,0.3666,0.6831,0.3632,0.3851,2e-4,2.2542,0.1483,0.1551,2.1515
56,0.6843,0.0022,0.7245,0.6196,0.9571,0.705,0.4096,1e-4,3.3656,0.1678,0.2033,1.8713
57,0.5222,0.0019,0.6184,0.5704,0.8518,0.9428,0.4033,1e-4,2.692,0.1626,0.194,1.7255
58,0.4931,0.002,0.641,0.4648,0.6324,0.6975,0.4958,0,3.5293,0.2458,0.1397,2.0129
59,0.1489,0.0013,0.399,0.3706,0.5731,0.3985,0.3907,2e-4,0.9688,0.1527,0.1537,1.6172
60,0.4107,0.0018,0.5579,0.4866,0.6892,0.6596,0.5252,0,3.028,0.2759,0.1356,1.7306
61,0.7506,0.0023,0.8026,0.5689,0.91,1.043,0.43120000000000003,0,4.1326,0.1859,0.1816,2.0541
62,0.7183,0.0024,0.8292,0.4946,0.791,0.6591,0.3609,5e-4,3.6791,0.1303,0.1952,2.4127
63,0.8909,0.0027,0.9681,0.509,0.8847,0.6963,0.3554,6e-4,4.4021,0.1263,0.2024,2.7153
64,1.3816,0.0033,1.2854,0.6717,1.2794,0.7205,0.3323,0.0015,5.0136,0.1104,0.2756,2.6768
65,0.5867,0.0021,0.6778,0.5436,0.8736,0.5609,0.4651,0,3.6411,0.2163,0.1611,1.9254
66,0.6393,0.0021,0.6896,0.5972,1.0396,0.8102,0.4815,0,3.8697,0.2318,0.1652,1.8362
67,0.6908,0.0022,0.7516,0.5764,0.9655,0.599,0.416,1e-4,3.6498,0.173,0.1893,1.9919
68,0.4884,0.0019,0.6003,0.5728,0.9985,1.0287,0.3491,8e-4,2.1557,0.1219,0.2265,1.6862
69,0.4326,0.0018,0.5917,0.4726,0.9514,0.5837,0.4143,1e-4,2.5966,0.1717,0.1666,1.8433
70,0.5037,0.0018,0.5757,0.5974,0.8475,0.6203,0.5252,0,3.2984,0.2758,0.1527,1.5072
71,1.0461,0.003,1.1141,0.5035,0.9845,0.6304,0.3143,0.0027,4.609,0.0988,0.227,3.0662
72,0.4943,0.0021,0.6804,0.4083,0.7027,0.3677,0.3984,1e-4,3.1348,0.1587,0.1577,2.4
73,1.0828,0.003,1.1242,0.5739,1.2392,0.6939,0.278,0.0084,3.7612,0.0773,0.2879,2.728
74,0.3906,0.0018,0.5675,0.4447,0.7449,0.3238,0.4527,0,2.6229,0.2049,0.1489,1.8556
75,0.3996,0.0018,0.5574,0.4884,0.5787,0.7792,0.3997,1e-4,2.2803,0.1598,0.1752,1.763
76,0.6453,0.0023,0.7684,0.4799,0.7611,0.6814,0.4106,1e-4,3.8234,0.1686,0.1688,2.3146
77,0.3752,0.0018,0.5808,0.3997,0.538,0.2419,0.409,1e-4,2.4455,0.1673,0.1534,2.0727
78,0.4259,0.002,0.6449,0.3613,0.6866,0.3461,0.4231,0,2.9623,0.179,0.1438,2.4047
79,0.4941,0.0019,0.604,0.5381,0.7941,0.7753,0.4677,0,3.1103,0.2187,0.1589,1.793
80,0.5944,0.0021,0.7045,0.5031,0.5324,0.6885,0.49370000000000003,0,4.1188,0.2437,0.1443,2.1458
81,0.5258,0.002,0.67490000000000006,0.4575,0.6767,0.4808,0.463,0,3.5875,0.2144,0.1466,2.1825
82,0.8902,0.0027,0.9545,0.5564,1.1122,0.6831,0.3114,0.003,3.5656,0.097,0.2497,2.3995
83,0.2809,0.0017,0.5306,0.3374,0.5641,0.2182,0.4075,1e-4,1.9671,0.166,0.1428,2.2556
84,0.9435,0.0028,1.0031,0.5181,1.116,0.6227,0.3721,3e-4,4.7762,0.1385,0.1975,2.6203
85,0.8322,0.0026,0.9332,0.4659,0.7143,0.4558,0.4265,0,5.1737,0.1819,0.1608,2.7206
86,0.5856,0.0023,0.762,0.406,0.7673,0.5795,0.3861,2e-4,3.603,0.1491,0.1625,2.5375
87,0.9996,0.0027,0.9724,0.6647,1.1809,1.0577,0.3498,8e-4,3.8833,0.1223,0.2574,2.1984
88,0.2999,0.0017,0.533,0.358,0.5167,0.3067,0.4919,0,2.3143,0.242,0.1296,2.0744
89,0.4176,0.0021,0.6838,0.2811,0.494,0.229,0.4088,1e-4,3.046,0.1671,0.1371,3.0459
90,0.5521,0.002,0.635,0.5803,0.79,0.9985,0.4227,0,2.9615,0.1787,0.1864,1.7786
91,0.6796,0.0022,0.7573,0.5462,0.5996,0.8316,0.4282,0,3.8273,0.1833,0.1776,2.021
92,0.3544,0.0018,0.5803,0.366,0.5687,0.4875,0.4105,1e-4,2.416,0.1685,0.1467,2.2504
93,0.577,0.0021,0.6899,0.5117,0.8851,0.6117,0.4404,0,3.5261,0.1939,0.1636,2.0653
94,0.5876,0.0022,0.7214,0.4677,0.7359,0.4074,0.4646,0,3.9837,0.2158,0.1475,2.2897
95,0.3015,0.0017,0.5404,0.3859,0.5339,0.5027,0.2747,0.0092,1.4297,0.0755,0.2109,1.9823
96,0.417,0.0019,0.6049,0.4364,0.7833,0.5533,0.3467,9e-4,2.2447,0.1202,0.1858,2.0503
97,0.8397,0.0025,0.8946,0.5585,0.9471,0.8937,0.3649,4e-4,3.9562,0.1332,0.2122,2.3196
98,1.1747,0.0031,1.1578,0.5992,1.29,0.4506,0.3347,0.0013,4.7526,0.112,0.2472,2.6682
99,0.4288,0.0019,0.6009,0.4453,0.6377,0.6516,0.4369,0,2.8037,0.1909,0.1529,1.9805
100,0.8738,0.0024,0.8278,0.6942,1.126,0.6325,0.4466,0,4.2871,0.1995,0.2038,1.8566
